Date : 2024-08-25 14:45:44
Directory : /Users/wangrundong/Documents/Projects/QtQQ
Total : 216 files,  127651 codes, 2188 comments, 3658 blanks, all 133497 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| build/Qt_6_6_3-Debug/CMakeFiles/3.30.2/CompilerIdCXX                                                                                                                           |          1 |        707 |         62 |        151 |        920 |
| build/Qt_6_6_3-Debug/CMakeFiles/QtQQ.dir                                                                                                                                       |          3 |        108 |          0 |         10 |        118 |
| build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen.dir                                                                                                                               |          5 |      1,948 |          0 |         12 |      1,960 |
| build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_autogen_timestamp_deps.dir                                                                                                                |          3 |         22 |          0 |         10 |         32 |
| build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_qmlimportscan.dir                                                                                                                         |          3 |         26 |          0 |         10 |         36 |
| build/Qt_6_6_3-Debug/QtQQ.app                                                                                                                                                  |          1 |          4 |          0 |          1 |          5 |
| build/Qt_6_6_3-Debug/QtQQ.app/Contents                                                                                                                                         |          1 |          4 |          0 |          1 |          5 |
| build/Qt_6_6_3-Debug/QtQQ.app/Contents/MacOS                                                                                                                                   |          1 |          4 |          0 |          1 |          5 |
| build/Qt_6_6_3-Debug/QtQQ_autogen                                                                                                                                              |         34 |     54,105 |      1,484 |        816 |     56,405 |
| build/Qt_6_6_3-Debug/QtQQ_autogen (Files)                                                                                                                                      |          2 |        512 |          1 |          2 |        515 |
| build/Qt_6_6_3-Debug/QtQQ_autogen/EWIEGA46WW                                                                                                                                   |         22 |     52,157 |      1,413 |        482 |     54,052 |
| build/Qt_6_6_3-Debug/QtQQ_autogen/include                                                                                                                                      |         10 |      1,436 |         70 |        332 |      1,838 |
| build/Qt_6_6_3-Debug/Testing                                                                                                                                                   |          1 |          3 |          0 |          1 |          4 |
| build/Qt_6_6_3-Debug/Testing/Temporary                                                                                                                                         |          1 |          3 |          0 |          1 |          4 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                                                                       | language    | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/cache-v2-e3c44ee49527fa217e92.json                                        | JSON        |      6,567 |          0 |          1 |      6,568 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/cmakeFiles-v1-a7d8d8db0cac5e652b2c.json                                   | JSON        |      1,686 |          0 |          1 |      1,687 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/codemodel-v2-44888a12b65797f18610.json                                    | JSON        |         79 |          0 |          1 |         80 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/directory-.-Debug-b2c78a91bb436b1c4af8.json                               | JSON        |         48 |          0 |          1 |         49 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/index-2024-08-24T04-55-58-0616.json                                       | JSON        |         89 |          0 |          1 |         90 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/target-QtQQ_Server-Debug-af4ee2245d9aa1a74e34.json                        | JSON        |        616 |          0 |          1 |        617 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/target-QtQQ_Server_autogen-Debug-2acc31b4465819ff6fac.json                | JSON        |         71 |          0 |          1 |         72 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/target-QtQQ_Server_autogen_timestamp_deps-Debug-6b52fb1fdd4d5523b2a5.json | JSON        |         27 |          0 |          1 |         28 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/cache-v2-e3c44ee49527fa217e92.json                                             | JSON        |      6,567 |          0 |          1 |      6,568 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/cmakeFiles-v1-a7d8d8db0cac5e652b2c.json                                        | JSON        |      1,686 |          0 |          1 |      1,687 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/codemodel-v2-44888a12b65797f18610.json                                         | JSON        |         79 |          0 |          1 |         80 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/directory-.-Debug-b2c78a91bb436b1c4af8.json                                    | JSON        |         48 |          0 |          1 |         49 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/index-2024-08-24T04-56-18-0359.json                                            | JSON        |         89 |          0 |          1 |         90 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/target-QtQQ_Server-Debug-af4ee2245d9aa1a74e34.json                             | JSON        |        616 |          0 |          1 |        617 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/target-QtQQ_Server_autogen-Debug-2acc31b4465819ff6fac.json                     | JSON        |         71 |          0 |          1 |         72 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/target-QtQQ_Server_autogen_timestamp_deps-Debug-6b52fb1fdd4d5523b2a5.json      | JSON        |         27 |          0 |          1 |         28 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.qt/QtDeploySupport.cmake                                                                          | CMake       |         61 |          0 |          5 |         66 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.qtc/package-manager/auto-setup.cmake                                                              | CMake       |        234 |          0 |         36 |        270 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.qtc/package-manager/conan.cmake                                                                   | CMake       |        908 |          0 |        119 |      1,027 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.qtc/package-manager/conan_provider.cmake                                                          | CMake       |        574 |          0 |         82 |        656 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/.qtc_clangd/compile_commands.json                                                                  | JSON        |          1 |          0 |          0 |          1 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeCache.txt                                                                                     | CMake Cache |      1,212 |          0 |        112 |      1,324 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/3.30.2/CMakeCXXCompiler.cmake                                                           | CMake       |         78 |          0 |         24 |        102 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/3.30.2/CMakeSystem.cmake                                                                | CMake       |         10 |          0 |          6 |         16 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/3.30.2/CompilerIdCXX/CMakeCXXCompilerId.cpp                                             | C++         |        707 |         62 |        151 |        920 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/CMakeConfigureLog.yaml                                                                  | YAML        |        234 |          2 |         20 |        256 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/CMakeDirectoryInformation.cmake                                                         | CMake       |         12 |          0 |          5 |         17 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/Makefile.cmake                                                                          | CMake       |        328 |          0 |          6 |        334 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server.dir/DependInfo.cmake                                                        | CMake       |         23 |          0 |          7 |         30 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server.dir/cmake_clean.cmake                                                       | CMake       |         26 |          0 |          2 |         28 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server.dir/compiler_depend.ts                                                      | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen.dir/AutoRcc_resources_EWIEGA46WW_Info.json                          | JSON        |         25 |          0 |          1 |         26 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen.dir/AutogenInfo.json                                                | JSON        |        523 |          0 |          1 |        524 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen.dir/DependInfo.cmake                                                | CMake       |         17 |          0 |          7 |         24 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen.dir/cmake_clean.cmake                                               | CMake       |         10 |          0 |          2 |         12 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen.dir/compiler_depend.ts                                              | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen_timestamp_deps.dir/DependInfo.cmake                                 | CMake       |         16 |          0 |          7 |         23 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen_timestamp_deps.dir/cmake_clean.cmake                                | CMake       |          4 |          0 |          2 |          6 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen_timestamp_deps.dir/compiler_depend.ts                               | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/Makefile                                                                                           | Makefile    |        224 |         79 |         91 |        394 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen/EWIEGA46WW/moc_qtqqserver.cpp                                                  | C++         |        173 |         18 |         19 |        210 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen/EWIEGA46WW/moc_tcpserver.cpp                                                   | C++         |        170 |         18 |         22 |        210 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen/EWIEGA46WW/moc_tcpsocket.cpp                                                   | C++         |        173 |         19 |         23 |        215 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen/EWIEGA46WW/qrc_resources.cpp                                                   | C++         |      3,206 |         15 |         16 |      3,237 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen/include/ui_qtqqserver.h                                                        | C++         |        204 |          7 |         33 |        244 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen/moc_predefs.h                                                                  | C++         |        480 |          0 |          1 |        481 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen/mocs_compilation.cpp                                                           | C++         |          3 |          1 |          1 |          5 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/Testing/Temporary/LastTest.log                                                                     | Log         |          3 |          0 |          1 |          4 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/cmake_install.cmake                                                                                | CMake       |         60 |          0 |          9 |         69 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/build/Qt_6_6_3-Debug/qtcsettings.cmake                                                                                  | CMake       |          1 |          0 |          2 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/main.cpp                                                                                                                | C++         |          9 |          0 |          3 |         12 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/qtqqserver.cpp                                                                                                          | C++         |        299 |         13 |         70 |        382 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/qtqqserver.h                                                                                                            | C++         |         51 |          0 |         12 |         63 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/qtqqserver.ui                                                                                                           | XML         |        396 |          0 |          1 |        397 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/resources.qrc                                                                                                           | XML         |          5 |          0 |          1 |          6 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/tcpserver.cpp                                                                                                           | C++         |         60 |          3 |         18 |         81 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/tcpserver.h                                                                                                             | C++         |         23 |          2 |          9 |         34 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/tcpsocket.cpp                                                                                                           | C++         |         25 |          0 |          7 |         32 |
| /Users/wangrundong/Documents/Projects/QtQQ/QtQQ_Server/tcpsocket.h                                                                                                             | C++         |         24 |          0 |          9 |         33 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/MainWindow/MsgHtml/jquery-3.3.1.min.js                                                                                    | JavaScript  |          1 |          1 |          1 |          3 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/MainWindow/MsgHtml/msgTmpl.html                                                                                           | HTML        |         15 |          0 |          1 |         16 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/MainWindow/MsgHtml/msgleftTmpl.html                                                                                       | HTML        |          4 |          0 |          1 |          5 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/MainWindow/MsgHtml/msgrightTmpl.html                                                                                      | HTML        |          4 |          0 |          1 |          5 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/MainWindow/MsgHtml/msgtmpl.js                                                                                             | JavaScript  |         73 |          0 |          8 |         81 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/MainWindow/MsgHtml/qwebchannel.js                                                                                         | JavaScript  |        309 |         78 |         44 |        431 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/MainWindow/MsgHtml/ui.css                                                                                                 | CSS         |         84 |          0 |         12 |         96 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/QSS/CCMainWindow.css                                                                                                      | CSS         |        229 |          0 |         44 |        273 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/QSS/EmotionWindow.css                                                                                                     | CSS         |         55 |          0 |         11 |         66 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/QSS/Menu.css                                                                                                              | CSS         |         27 |          0 |          3 |         30 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/QSS/ReceiveFile.css                                                                                                       | CSS         |         24 |          0 |          5 |         29 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/QSS/SendFile.css                                                                                                          | CSS         |         38 |          0 |          7 |         45 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/QSS/SkinWindow.css                                                                                                        | CSS         |         30 |          0 |          4 |         34 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/QSS/TalkWindow.css                                                                                                        | CSS         |        475 |          0 |         60 |        535 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/QSS/Title.css                                                                                                             | CSS         |         51 |          4 |         11 |         66 |
| /Users/wangrundong/Documents/Projects/QtQQ/Resources/QSS/UserLogin.css                                                                                                         | CSS         |         66 |          0 |         14 |         80 |
| /Users/wangrundong/Documents/Projects/QtQQ/basicwindow.cpp                                                                                                                     | C++         |        157 |         11 |         38 |        206 |
| /Users/wangrundong/Documents/Projects/QtQQ/basicwindow.h                                                                                                                       | C++         |         41 |          6 |         14 |         61 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/cache-v2-db5422da830b468ff094.json                                                    | JSON        |      7,583 |          0 |          1 |      7,584 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/cmakeFiles-v1-fbb7a6f4bb3976975c84.json                                               | JSON        |      4,918 |          0 |          1 |      4,919 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/codemodel-v2-66e90c1a8e89e22d79c5.json                                                | JSON        |         88 |          0 |          1 |         89 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/directory-.-Debug-40b9f4cce3bc4b450649.json                                           | JSON        |         48 |          0 |          1 |         49 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/index-2024-08-25T05-18-10-0617.json                                                   | JSON        |         89 |          0 |          1 |         90 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/target-QtQQ-Debug-390e813e2a3ce8c3f58a.json                                           | JSON        |      1,617 |          0 |          1 |      1,618 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/target-QtQQ_autogen-Debug-b43646f98e66d6118043.json                                   | JSON        |         71 |          0 |          1 |         72 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/target-QtQQ_autogen_timestamp_deps-Debug-c808314651eb31f69626.json                    | JSON        |         34 |          0 |          1 |         35 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev/target-QtQQ_qmlimportscan-Debug-9a7691100157ccb453d7.json                             | JSON        |        117 |          0 |          1 |        118 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/cache-v2-db5422da830b468ff094.json                                                         | JSON        |      7,583 |          0 |          1 |      7,584 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/cmakeFiles-v1-fbb7a6f4bb3976975c84.json                                                    | JSON        |      4,918 |          0 |          1 |      4,919 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/codemodel-v2-66e90c1a8e89e22d79c5.json                                                     | JSON        |         88 |          0 |          1 |         89 |
| /Users/wangrundong/Documents/Projects/QtQQ/build/Qt_6_6_3-Debug/.cmake/api/v1/reply/directory-.-Debug-40b9f4cce3bc4b450649.json                                                | JSON        |         48 |          0 |          1 |         49 |
